Date,GD=F,^GSPC,^IXIC
2014-12-04,477.70001220703125,2071.919921875,4769.43994140625
2014-12-05,473.8999938964844,2075.3701171875,4780.759765625
2014-12-08,463.0,2060.31005859375,4740.68994140625
2014-12-09,466.70001220703125,2059.820068359375,4766.47021484375
2014-12-10,455.0,2026.1400146484375,4684.02001953125
2014-12-11,452.0,2035.3299560546875,4708.16015625
2014-12-12,445.0,2002.3299560546875,4653.60009765625
2014-12-15,439.80999755859375,1989.6300048828125,4605.16015625
2014-12-16,435.5,1972.739990234375,4547.830078125
2014-12-17,439.5,2012.8900146484375,4644.31005859375
2014-12-18,433.75,2061.22998046875,4748.39990234375
2014-12-19,442.1000061035156,2070.64990234375,4765.3798828125
2014-12-22,433.25,2078.5400390625,4781.419921875
2014-12-23,441.45001220703125,2082.169921875,4765.419921875
2014-12-24,431.1000061035156,2081.8798828125,4773.47021484375
2014-12-26,428.0,2088.77001953125,4806.85986328125
2014-12-29,423.5,2090.570068359375,4806.91015625
2014-12-30,423.3500061035156,2080.35009765625,4777.43994140625
2014-12-31,419.25,2058.89990234375,4736.0498046875
2015-01-02,414.5,2058.199951171875,4726.81005859375
2015-01-05,403.8500061035156,2020.5799560546875,4652.56982421875
2015-01-06,398.0,2002.6099853515625,4592.740234375
2015-01-07,397.0,2025.9000244140625,4650.47021484375
2015-01-08,396.20001220703125,2062.139892578125,4736.18994140625
2015-01-09,394.6000061035156,2044.81005859375,4704.06982421875
2015-01-12,382.5,2028.260009765625,4664.7099609375
2015-01-13,378.25,2023.030029296875,4661.5
2015-01-14,386.0,2011.27001953125,4639.31982421875
2015-01-15,380.1000061035156,1992.6700439453125,4570.81982421875
2015-01-16,391.0,2019.4200439453125,4634.3798828125
2015-01-20,381.3999938964844,2022.550048828125,4654.85009765625
2015-01-21,387.0,2032.1199951171875,4667.419921875
2015-01-22,382.0,2063.14990234375,4750.39990234375
2015-01-23,379.75,2051.820068359375,4757.8798828125
2015-01-26,378.0,2057.090087890625,4771.759765625
