Date,0,1,2,3,4,5,6,7,8
2020-10-28,3271.030029296875,0.0095652593299746,26519.94921875,11004.8701171875,40.27999877929688,1.17481,1.29888,7.742857142857144e-07,1.7
2020-10-29,3310.110107421875,0.0095863491296768,26659.109375,11185.58984375,37.59000015258789,1.16778,1.29306,7.738571428571429e-07,1.71
2020-10-30,3269.9599609375,0.0095644351094961,26501.599609375,10911.58984375,38.02000045776367,1.1675,1.2947,7.734285714285715e-07,1.7
2020-11-02,3310.239990234375,0.0095620574429631,26925.05078125,10957.6103515625,37.130001068115234,1.0918,1.29553,7.627142857142857e-07,1.71
2020-11-03,3369.159912109375,0.0095488186925649,27480.029296875,11160.5703125,35.54999923706055,1.12606,1.28161,7.575714285714285e-07,1.72
2020-11-04,3443.43994140625,0.0095651680603623,27847.66015625,11590.7802734375,29.56999969482422,1.0935,1.2449,7.524285714285714e-07,1.64
2020-11-05,3510.449951171875,0.0095750587061047,28390.1796875,11890.9296875,27.57999992370605,1.0809,1.233,7.472857142857144e-07,1.66
2020-11-06,3509.43994140625,0.0096522308886051,28323.400390625,11895.23046875,24.86000061035156,1.12878,1.25737,7.421428571428571e-07,1.65
2020-11-09,3550.5,0.0096849491819739,29157.970703125,11713.7802734375,25.75,1.18369,1.2794,7.372857142857143e-07,1.73
2020-11-10,3545.530029296875,0.0095113990828394,29420.919921875,11553.8603515625,24.799999237060547,1.1814,1.30306,7.374285714285714e-07,1.76
2020-11-11,3572.659912109375,0.009500284679234,29397.630859375,11786.4296875,23.450000762939453,1.1779,1.3223,7.375714285714286e-07,1.76
2020-11-12,3537.010009765625,0.0094863157719373,29080.169921875,11709.58984375,25.350000381469727,1.2113,1.3224,7.377142857142856e-07,1.71
2020-11-13,3585.14990234375,0.0095156533643603,29479.810546875,11829.2900390625,23.100000381469727,1.18275,1.31589,7.378571428571428e-07,1.72
2020-11-16,3626.909912109375,0.0095532881096005,29950.439453125,11924.1298828125,22.450000762939453,1.18589,1.3219,7.537142857142856e-07,1.72
2020-11-17,3609.530029296875,0.0095656253397464,29783.349609375,11899.33984375,22.709999084472656,1.1862,1.32555,7.615714285714285e-07,1.7
2020-11-18,3567.7900390625,0.0095986789092421,29438.419921875,11801.599609375,23.84000015258789,1.18472,1.32556,7.694285714285715e-07,1.7
2020-11-19,3581.8701171875,0.0096251955255866,29483.23046875,11904.7099609375,23.11000061035156,1.18662,1.32476,7.772857142857144e-07,1.7
2020-11-20,3557.5400390625,0.009631591849029,29263.48046875,11854.9697265625,23.700000762939453,1.18526,1.32347,7.851428571428572e-07,1.69
2020-11-23,3577.590087890625,0.009632334113121,29591.26953125,11880.6298828125,22.65999984741211,1.1843,1.33273,7.77e-07,1.71
2020-11-24,3635.409912109375,0.0095670893788337,30046.240234375,12036.7900390625,21.63999938964844,1.18976,1.33624,7.690000000000001e-07,1.74
2020-11-25,3629.64990234375,0.0095681874081492,29872.470703125,12094.400390625,21.25,1.19162,1.33839,7.61e-07,1.75
2020-11-26,3629.64990234375,0.0095785437151789,29872.470703125,12094.400390625,21.25,1.19112,1.33534,7.53e-07,1.75
2020-11-27,3638.35009765625,0.0095930630341172,29910.369140625,12205.849609375,20.84000015258789,1.1962,1.3313,7.45e-07,1.75
2020-11-30,3621.6298828125,0.0096078095957636,29638.640625,12198.740234375,20.56999969482422,1.19373,1.3335,7.758571428571429e-07,1.77
2020-12-01,3662.449951171875,0.0095878196880221,29823.919921875,12355.1103515625,20.770000457763672,1.1116,1.30432,7.952857142857144e-07,1.81
2020-12-02,3669.010009765625,0.0095869004726409,29883.7890625,12349.3701171875,21.170000076293945,1.08749,1.29562,8.147142857142856e-07,1.85
2020-12-03,3666.719970703125,0.0095732258632779,29969.51953125,12377.1796875,21.280000686645508,1.11832,1.2565,8.341428571428571e-07,1.86
2020-12-04,3699.1201171875,0.0096317771822214,30218.259765625,12464.23046875,20.790000915527344,1.09315,1.24585,8.535714285714286e-07,1.89
2020-12-07,3691.9599609375,0.0095971133559942,30069.7890625,12519.9501953125,21.299999237060547,1.13093,1.2626,8.767142857142857e-07,1.88
2020-12-08,3702.25,0.0096155693754553,30173.880859375,12582.76953125,20.68000030517578,1.17937,1.3044,8.785714285714285e-07,1.89
2020-12-09,3672.820068359375,0.0096029192209243,30068.810546875,12338.9501953125,22.270000457763672,1.18369,1.2794,8.804285714285715e-07,1.91
2020-12-10,3668.10009765625,0.0095903016626834,29999.259765625,12405.8095703125,22.520000457763672,1.18132,1.3063,8.822857142857143e-07,1.88
2020-12-11,3663.4599609375,0.0095985867083072,30046.369140625,12377.8701171875,23.309999465942383,1.1804,1.31212,8.841428571428572e-07,1.87
2020-12-14,3647.489990234375,0.0096210278570652,29861.55078125,12440.0400390625,24.71999931335449,1.2148,1.33279,8.657142857142856e-07,1.88
2020-12-15,3694.6201171875,0.009614460170269,30199.310546875,12595.0595703125,22.88999938964844,1.21537,1.3442,8.555714285714286e-07,1.91
2020-12-16,3701.169921875,0.0096493428573012,30154.5390625,12658.1904296875,22.5,1.21961,1.35012,8.454285714285714e-07,1.92
2020-12-17,3722.47998046875,0.0096641704440116,30303.369140625,12764.75,21.93000030517578,1.22618,1.35683,8.352857142857143e-07,1.94
2020-12-18,3709.409912109375,0.0096964063122868,30179.05078125,12755.6396484375,21.56999969482422,1.22547,1.3521,8.251428571428571e-07,1.95
2020-12-21,3694.919921875,0.0096658514812588,30216.44921875,12742.51953125,25.15999984741211,1.22346,1.34485,8.03e-07,1.95
2020-12-22,3687.260009765625,0.0096767954528331,30015.509765625,12807.919921875,24.229999542236328,1.2186,1.33991,7.970000000000001e-07,1.94
2020-12-23,3690.010009765625,0.0096586635336279,30129.830078125,12771.1103515625,23.309999465942383,1.21908,1.3502,7.91e-07,1.97
2020-12-24,3703.06005859375,0.0096569834277033,30199.869140625,12804.73046875,21.530000686645508,1.2181,1.3555,7.85e-07,1.97
2020-12-25,3703.06005859375,0.009647574275732,30199.869140625,12804.73046875,21.530000686645508,1.2151,1.3563,7.790000000000001e-07,1.97
2020-12-28,3735.360107421875,0.0096587566658854,30403.970703125,12899.419921875,21.700000762939453,1.222,1.34615,7.815714285714285e-07,1.97
2020-12-29,3727.0400390625,0.0096442243084311,30335.669921875,12850.2197265625,23.07999992370605,1.22524,1.34985,7.85857142857143e-07,1.96
2020-12-30,3732.0400390625,0.0096563315019011,30409.560546875,12870.0,22.770000457763672,1.22996,1.36283,7.901428571428571e-07,1.96
2020-12-31,3756.070068359375,0.0096973460167646,30606.48046875,12888.2802734375,22.75,1.1984,1.3657,7.944285714285715e-07,1.99
2021-01-01,3756.070068359375,0.0096874823793768,30606.48046875,12888.2802734375,22.75,1.20108,1.3667,7.987142857142857e-07,1.99
